STATE,rate_suic,deaths_suic,URL
Alabama,14.9,750,/nchs/pressroom/states/alabama/alabama.htm
Alaska,26.9,201,/nchs/pressroom/states/alaska/alaska.htm
Arizona,18.2,"1,276",/nchs/pressroom/states/arizona/arizona.htm
Arkansas,19.1,577,/nchs/pressroom/states/arkansas/arkansas.htm
California,10.3,"4,167",/nchs/pressroom/states/california/california.htm
Colorado,19.5,"1,093",/nchs/pressroom/states/colorado/colorado.htm
Connecticut,9.9,384,/nchs/pressroom/states/connecticut/connecticut.htm
Delaware,12.6,122,/nchs/pressroom/states/delaware/delaware.htm
Florida,14.4,"3,205",/nchs/pressroom/states/florida/florida.htm
Georgia,12.7,"1,317",/nchs/pressroom/states/georgia/georgia.htm
Hawaii,13.5,201,/nchs/pressroom/states/hawaii/hawaii.htm
Idaho,22.1,359,/nchs/pressroom/states/idaho/idaho.htm
Illinois,10.3,"1,363",/nchs/pressroom/states/illinois/illinois.htm
Indiana,14.4,960,/nchs/pressroom/states/indiana/indiana.htm
Iowa,13.9,433,/nchs/pressroom/states/iowa/iowa.htm
Kansas,16.3,477,/nchs/pressroom/states/kansas/kansas.htm
Kentucky,17.1,776,/nchs/pressroom/states/kentucky/kentucky.htm
Louisiana,15.2,722,/nchs/pressroom/states/louisiana/louisiana.htm
Maine,16,235,/nchs/pressroom/states/maine/maine.htm
Maryland,8.8,553,/nchs/pressroom/states/maryland/maryland.htm
Massachusetts,8.9,642,/nchs/pressroom/states/massachusetts/massachusetts.htm
Michigan,13.8,"1,410",/nchs/pressroom/states/michigan/michigan.htm
Minnesota,13.2,730,/nchs/pressroom/states/minnesota/minnesota.htm
Mississippi,14,431,/nchs/pressroom/states/mississippi/mississippi.htm
Missouri,17.1,"1,052",/nchs/pressroom/states/missouri/missouri.htm
Montana,25.3,272,/nchs/pressroom/states/montana/montana.htm
Nebraska,11.7,223,/nchs/pressroom/states/nebraska/nebraska.htm
Nevada,18.4,558,/nchs/pressroom/states/nevada/nevada.htm
New Hampshire,16.5,228,/nchs/pressroom/states/newhampshire/newhampshire.htm
New Jersey,8.3,789,/nchs/pressroom/states/newjersey/newjersey.htm
New Mexico,23.7,500,/nchs/pressroom/states/newmexico/newmexico.htm
New York,7.8,"1,652",/nchs/pressroom/states/newyork/newyork.htm
North Carolina,13.4,"1,406",/nchs/pressroom/states/northcarolina/northcarolina.htm
North Dakota,17.5,124,/nchs/pressroom/states/northdakota/northdakota.htm
Ohio,13.9,"1,650",/nchs/pressroom/states/ohio/ohio.htm
Oklahoma,20.3,790,/nchs/pressroom/states/oklahoma/oklahoma.htm
Oregon,17.8,762,/nchs/pressroom/states/oregon/oregon.htm
Pennsylvania,14,"1,894",/nchs/pressroom/states/pennsylvania/pennsylvania.htm
Rhode Island,11.2,127,/nchs/pressroom/states/rhodeisland/rhodeisland.htm
South Carolina,14.8,742,/nchs/pressroom/states/southcarolina/southcarolina.htm
South Dakota,20.4,173,/nchs/pressroom/states/southdakota/southdakota.htm
Tennessee,15.7,"1,068",/nchs/pressroom/states/tenessee/tennessee.htm
Texas,12.5,"3,403",/nchs/pressroom/states/texas/texas.htm
Utah,22.4,630,/nchs/pressroom/states/utah/utah.htm
Vermont,14.8,103,/nchs/pressroom/states/vermont/vermont.htm
Virginia,12.7,"1,118",/nchs/pressroom/states/virginia/virginia.htm
Washington,15.4,"1,137",/nchs/pressroom/states/washington/washington.htm
West Virginia,17.4,340,/nchs/pressroom/states/westvirginia/westvirginia.htm
Wisconsin,14.7,877,/nchs/pressroom/states/wisconsin/wisconsin.htm
Wyoming,28,157,/nchs/pressroom/states/wyoming/wyoming.htm
