STATE,rate_suic,deaths_suic,URL
Alabama,14.5,715,/nchs/pressroom/states/alabama/alabama.htm
Alaska,22.1,167,/nchs/pressroom/states/alaska/alaska.htm
Arizona,18,"1,244",/nchs/pressroom/states/arizona/arizona.htm
Arkansas,17.3,515,/nchs/pressroom/states/arkansas/arkansas.htm
California,10.5,"4,214",/nchs/pressroom/states/california/california.htm
Colorado,19.9,"1,083",/nchs/pressroom/states/colorado/colorado.htm
Connecticut,9.8,379,/nchs/pressroom/states/connecticut/connecticut.htm
Delaware,13.2,126,/nchs/pressroom/states/delaware/delaware.htm
Florida,13.9,"3,035",/nchs/pressroom/states/florida/florida.htm
Georgia,12.6,"1,294",/nchs/pressroom/states/georgia/georgia.htm
Hawaii,13.8,204,/nchs/pressroom/states/hawaii/hawaii.htm
Idaho,20,320,/nchs/pressroom/states/idaho/idaho.htm
Illinois,10.5,"1,398",/nchs/pressroom/states/illinois/illinois.htm
Indiana,14.3,948,/nchs/pressroom/states/indiana/indiana.htm
Iowa,12.9,407,/nchs/pressroom/states/iowa/iowa.htm
Kansas,15.7,455,/nchs/pressroom/states/kansas/kansas.htm
Kentucky,15.9,727,/nchs/pressroom/states/kentucky/kentucky.htm
Louisiana,14.3,679,/nchs/pressroom/states/louisiana/louisiana.htm
Maine,15.7,220,/nchs/pressroom/states/maine/maine.htm
Maryland,9.8,606,/nchs/pressroom/states/maryland/maryland.htm
Massachusetts,8.2,596,/nchs/pressroom/states/massachusetts/massachusetts.htm
Michigan,13.3,"1,354",/nchs/pressroom/states/michigan/michigan.htm
Minnesota,12.2,686,/nchs/pressroom/states/minnesota/minnesota.htm
Mississippi,12.5,380,/nchs/pressroom/states/mississippi/mississippi.htm
Missouri,16.3,"1,017",/nchs/pressroom/states/missouri/missouri.htm
Montana,23.9,251,/nchs/pressroom/states/montana/montana.htm
Nebraska,13.4,251,/nchs/pressroom/states/nebraska/nebraska.htm
Nevada,19.6,573,/nchs/pressroom/states/nevada/nevada.htm
New Hampshire,17.8,247,/nchs/pressroom/states/newhampshire/newhampshire.htm
New Jersey,8.3,786,/nchs/pressroom/states/newjersey/newjersey.htm
New Mexico,21,449,/nchs/pressroom/states/newmexico/newmexico.htm
New York,8.1,"1,700",/nchs/pressroom/states/newyork/newyork.htm
North Carolina,13,"1,351",/nchs/pressroom/states/northcarolina/northcarolina.htm
North Dakota,17.8,137,/nchs/pressroom/states/northdakota/northdakota.htm
Ohio,12.6,"1,491",/nchs/pressroom/states/ohio/ohio.htm
Oklahoma,19.1,736,/nchs/pressroom/states/oklahoma/oklahoma.htm
Oregon,18.6,782,/nchs/pressroom/states/oregon/oregon.htm
Pennsylvania,13.3,"1,817",/nchs/pressroom/states/pennsylvania/pennsylvania.htm
Rhode Island,10.1,113,/nchs/pressroom/states/rhodeisland/rhodeisland.htm
South Carolina,15.2,753,/nchs/pressroom/states/southcarolina/southcarolina.htm
South Dakota,17.1,141,/nchs/pressroom/states/southdakota/southdakota.htm
Tennessee,14.1,948,/nchs/pressroom/states/tenessee/tennessee.htm
Texas,12.2,"3,254",/nchs/pressroom/states/texas/texas.htm
Utah,20.5,559,/nchs/pressroom/states/utah/utah.htm
Vermont,18.7,124,/nchs/pressroom/states/vermont/vermont.htm
Virginia,12.9,"1,122",/nchs/pressroom/states/virginia/virginia.htm
Washington,15.2,"1,119",/nchs/pressroom/states/washington/washington.htm
West Virginia,18.1,359,/nchs/pressroom/states/westvirginia/westvirginia.htm
Wisconsin,13.1,769,/nchs/pressroom/states/wisconsin/wisconsin.htm
Wyoming,20.6,120,/nchs/pressroom/states/wyoming/wyoming.htm
