STATE,rate_suic,deaths_suic,URL
Alabama,16.6,836,/nchs/pressroom/states/alabama/alabama.htm
Alaska,27,200,/nchs/pressroom/states/alaska/alaska.htm
Arizona,18.2,"1,327",/nchs/pressroom/states/arizona/arizona.htm
Arkansas,20.8,631,/nchs/pressroom/states/arkansas/arkansas.htm
California,10.5,"4,312",/nchs/pressroom/states/california/california.htm
Colorado,20.3,"1,181",/nchs/pressroom/states/colorado/colorado.htm
Connecticut,10.5,405,/nchs/pressroom/states/connecticut/connecticut.htm
Delaware,11.6,112,/nchs/pressroom/states/delaware/delaware.htm
Florida,14,"3,227",/nchs/pressroom/states/florida/florida.htm
Georgia,13.6,"1,451",/nchs/pressroom/states/georgia/georgia.htm
Hawaii,15.2,227,/nchs/pressroom/states/hawaii/hawaii.htm
Idaho,23.2,392,/nchs/pressroom/states/idaho/idaho.htm
Illinois,11.2,"1,474",/nchs/pressroom/states/illinois/illinois.htm
Indiana,16.3,"1,092",/nchs/pressroom/states/indiana/indiana.htm
Iowa,15,479,/nchs/pressroom/states/iowa/iowa.htm
Kansas,19.1,553,/nchs/pressroom/states/kansas/kansas.htm
Kentucky,16.9,770,/nchs/pressroom/states/kentucky/kentucky.htm
Louisiana,15.2,720,/nchs/pressroom/states/louisiana/louisiana.htm
Maine,18.9,274,/nchs/pressroom/states/maine/maine.htm
Maryland,9.8,630,/nchs/pressroom/states/maryland/maryland.htm
Massachusetts,9.5,682,/nchs/pressroom/states/massachusetts/massachusetts.htm
Michigan,14.1,"1,457",/nchs/pressroom/states/michigan/michigan.htm
Minnesota,13.8,783,/nchs/pressroom/states/minnesota/minnesota.htm
Mississippi,15,445,/nchs/pressroom/states/mississippi/mississippi.htm
Missouri,18.5,"1,151",/nchs/pressroom/states/missouri/missouri.htm
Montana,28.9,311,/nchs/pressroom/states/montana/montana.htm
Nebraska,14.7,275,/nchs/pressroom/states/nebraska/nebraska.htm
Nevada,20.3,627,/nchs/pressroom/states/nevada/nevada.htm
New Hampshire,18.9,265,/nchs/pressroom/states/newhampshire/newhampshire.htm
New Jersey,8.3,795,/nchs/pressroom/states/newjersey/newjersey.htm
New Mexico,23.3,491,/nchs/pressroom/states/newmexico/newmexico.htm
New York,8.1,"1,696",/nchs/pressroom/states/newyork/newyork.htm
North Carolina,14.3,"1,521",/nchs/pressroom/states/northcarolina/northcarolina.htm
North Dakota,20.1,154,/nchs/pressroom/states/northdakota/northdakota.htm
Ohio,14.8,"1,740",/nchs/pressroom/states/ohio/ohio.htm
Oklahoma,19.1,756,/nchs/pressroom/states/oklahoma/oklahoma.htm
Oregon,19,825,/nchs/pressroom/states/oregon/oregon.htm
Pennsylvania,15,"2,030",/nchs/pressroom/states/pennsylvania/pennsylvania.htm
Rhode Island,11.8,129,/nchs/pressroom/states/rhodeisland/rhodeisland.htm
South Carolina,16.3,838,/nchs/pressroom/states/southcarolina/southcarolina.htm
South Dakota,22.5,191,/nchs/pressroom/states/southdakota/southdakota.htm
Tennessee,16.8,"1,166",/nchs/pressroom/states/tenessee/tennessee.htm
Texas,13.4,"3,778",/nchs/pressroom/states/texas/texas.htm
Utah,22.7,663,/nchs/pressroom/states/utah/utah.htm
Vermont,18.3,112,/nchs/pressroom/states/vermont/vermont.htm
Virginia,13.4,"1,179",/nchs/pressroom/states/virginia/virginia.htm
Washington,16.9,"1,297",/nchs/pressroom/states/washington/washington.htm
West Virginia,21.1,393,/nchs/pressroom/states/westvirginia/westvirginia.htm
Wisconsin,15.4,926,/nchs/pressroom/states/wisconsin/wisconsin.htm
Wyoming,26.9,157,/nchs/pressroom/states/wyoming/wyoming.htm
